Rank,Image_Name,Domain,Ground_Truth,Raw_Pred,Sanitized_Pred,Corrected_Pred,CER_Raw,CER_Sanitized,CER_Corrected,WER_Corrected,Error_Category
13,handwritten_0150.png,handwritten,"câu hỏi đó tự đến với họ hoặc đến từ người thân, bạn bè đi kèm sự chua",cân hải do ám đều vàc kỵ loạn đến bị Nguyễ trong ban bè đe làm sự dụng,cân hải do ám đều vàc kỵ loạn đến bị Nguyễ trong ban bè đe làm sự dụng,cân hải do ám đều vàc kỵ loạn đến bị Nguyễ trong ban bè đe làm sự dụng,0.4571,0.4571,0.4571,0.8333,SUBSTITUTION
14,handwritten_0197.png,handwritten,"Số 33 Trần Cao Vân, Phường Ngọc Trạo, Thành phố Thanh Hoá, Thanh Hoá",""" Số 77 Tân Cao Vân, Phường Yặc 5ạo, TP Chành về trinh đánh tước",""" Số 77 Tân Cao Vân, Phường Yặc 5ạo, TP Chành về trinh đánh tước",""" Số 77 Tân Cao Vân, Phường Yặc 5ạo, TP Chành về trinh đánh tước",0.4559,0.4559,0.4559,0.7857,SUBSTITUTION
15,handwritten_0132.png,handwritten,các nhà đầu tư trong Khu chế xuất Tân Thuận. Vậy thì khi không khắc phục ngay,các ghòa đầu bi tay khu Miếm Tân VN. Cập là không biết phục ngay,các ghòa đầu bi tay khu Miếm Tân VN. Cập là không biết phục ngay,các ghòa đầu bi tay khu Miếm Tân VN. Cập là không biết phục ngay,0.4545,0.4545,0.4545,0.6471,SUBSTITUTION
16,handwritten_0142.png,handwritten,những sai phạm đó. Có như vậy niềm tin vào lẽ phải mới được khôi phục,"nhưng Người làm đế. có như vậy mầm Gian vào Cê phả trác kháe dân,","nhưng Người làm đế. có như vậy mầm Gian vào Cê phả trác kháe dân,","nhưng Người làm đế. có như vậy mầm Gian vào Cê phả trác kháe dân,",0.4493,0.4493,0.4493,0.8125,SUBSTITUTION
17,handwritten_0358.png,handwritten,"2/25 Lê Chí Dân, ấp 3, Thành Phố Thủ Dầu Một, Bình Dương","27/5 Lê Chi Dân, CM 7, Thành Nội Trư Dầu Nội, Km phơp, 20000n","27/5 Lê Chi Dân, CM 7, Thành Nội Trư Dầu Nội, Km phơp, 2000n","27/5 Lê Chi Dân, CM 7, Thành Nội Trư Dầu Nội, Km phơp, 2000n",0.4643,0.4464,0.4464,0.7692,HALLUCINATION_LOOP
18,printed_2242.png,printed,Quang Chính Chí Đức Đại Công Thánh Văn Thần Vū Dat,Quảng Vận Cao Minh Quang Chính Chí Đức Đại Công Thánh Văn Thần Vũ Đạt,Quảng Vận Cao Minh Quang Chính Chí Đức Đại Công Thánh Văn Thần Vũ Đạt,Quảng Vận Cao Minh Quang Chính Chí Đức Đại Công Thánh Văn Thần Vũ Đạt,0.4400,0.4400,0.4400,0.5455,SUBSTITUTION
19,handwritten_0140.png,handwritten,dương nào thiết thực hơn đối với anh Đại và những đồng nghiệp là xử lý ngay,doáng chiết khôc hơn vớn anh Đại và những dây Nguy kiểm lý ngường.,doáng chiết khôc hơn vớn anh Đại và những dây Nguy kiểm lý ngường.,doáng chiết khôc hơn vớn anh Đại và những dây Nguy kiểm lý ngường.,0.4400,0.4400,0.4400,0.6471,SUBSTITUTION
20,printed_0739.png,printed,34 DAI VIETSUKY TOANTHU,34 ĐẠI VIỆT SỬ KÝ TOÀN THƯ,34 ĐẠI VIỆT SỬ KÝ TOÀN THƯ,34 ĐẠI VIỆT SỬ KÝ TOÀN THƯ,0.4348,0.4348,0.4348,1.5000,SUBSTITUTION
21,printed_0831.png,printed,64DAI VIETSU KYTOAN THU,64 ĐẠI VIỆT SỬ KÝ TOÀN THƯ,64 ĐẠI VIỆT SỬ KÝ TOÀN THƯ,64 ĐẠI VIỆT SỬ KÝ TOÀN THƯ,0.4348,0.4348,0.4348,1.7500,SUBSTITUTION
22,handwritten_0632.png,handwritten,"Long Trung, Xã Long Thành Trung, Huyện Hoà Thành, Tây Ninh","Trong Truy, vào 1 tring Thành Hung, Huyện Hòa Qua, Từng Minh","Trong Truy, vào 1 tring Thành Hung, Huyện Hòa Qua, Từng Minh","Trong Truy, vào 1 tring Thành Hung, Huyện Hòa Qua, Từng Minh",0.4310,0.4310,0.4310,0.9091,SUBSTITUTION
23,handwritten_0722.png,handwritten,"14 Nguyễn Thái Học, P Tân An, Quận Ninh Kiều, Cần Thơ","1 Là Nguyễn Thai cá đới, P.Cân Ang Krên Ninh Vĩn sử, Cần Thơ","1 Là Nguyễn Thai cá đới, P.Cân Ang Krên Ninh Vĩn sử, Cần Thơ","1 Là Nguyễn Thai cá đới, P.Cân Ang Krên Ninh Vĩn sử, Cần Thơ",0.4151,0.4151,0.4151,0.8333,SUBSTITUTION
24,handwritten_0135.png,handwritten,đồng nghĩa với việc mất đi bao nhiêu cơ hội làm việc và cải thiện cuộc sống,"dùng nhàn với mội đ1 bao nhiên có hật loài việc và cả khiếu sốc, Nay","dùng nhàn với mội đ1 bao nhiên có hật loài việc và cả khiếu sốc, Nay","dùng nhàn với mội đ1 bao nhiên có hật loài việc và cả khiếu sốc, Nay",0.4133,0.4133,0.4133,0.7647,SUBSTITUTION
25,handwritten_0147.png,handwritten,"như làm chạnh lòng tôi là có phải họ đã xả thân vì đại nghĩa để rồi gia đình,","như làm choai sáy bồng lành phả họ đã xã Nhai và đe nghĩa để "" gò 1 trình","như làm choai sáy bồng lành phả họ đã xã Nhai và đe nghĩa để "" gò 1 trình","như làm choai sáy bồng lành phả họ đã xã Nhai và đe nghĩa để "" gò 1 trình",0.4026,0.4026,0.4026,0.7368,SUBSTITUTION
26,printed_1859.png,printed,"làm quan đài thôi!"".","làm đài quan thôi!"".","làm đài quan thôi!"".","làm đài quan thôi!"".",0.4000,0.4000,0.4000,0.5000,SUBSTITUTION
27,handwritten_0148.png,handwritten,"vợ con ly tán, thất nghiệp, lâm vào cảnh đời tan nát như thế sao! Vì sao họ","vợ conh lới, phốt Nghiệp, lần vào cảnh đời km bát khê Họ Vì 10 bị","vợ conh lới, phốt Nghiệp, lần vào cảnh đời km bát khê Họ Vì 10 bị","vợ conh lới, phốt Nghiệp, lần vào cảnh đời km bát khê Họ Vì 10 bị",0.4000,0.4000,0.4000,0.7222,SUBSTITUTION
28,handwritten_0141.png,handwritten,những sai phạm (đã rõ mười mươi) và có biện pháp hữu hiệu khắc phục,"những sai pham, (đã ào muàn của) và é lạm pháp biểu kiên khỏe phúc","những sai pham, (đã ào muàn của) và é lạm pháp biểu kiên khỏe phúc","những sai pham, (đã ào muàn của) và é lạm pháp biểu kiên khỏe phúc",0.3881,0.3881,0.3881,0.6667,SUBSTITUTION
29,handwritten_0122.png,handwritten,"Thế nhưng những hiệp sĩ ấy giờ ra sao? Người thì lang thang, phiêu bạt, kẻ thì","Thế nhưng những luộp sẽ ấy giờ kmỏ. Ngoa tôi bay chong phảa dại, kẻ dàn","Thế nhưng những luộp sẽ ấy giờ kmỏ. Ngoa tôi bay chong phảa dại, kẻ dàn","Thế nhưng những luộp sẽ ấy giờ kmỏ. Ngoa tôi bay chong phảa dại, kẻ dàn",0.3846,0.3846,0.3846,0.6471,SUBSTITUTION
30,handwritten_0321.png,handwritten,"76/18 Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân phú, TP Hồ Chí Minh","4 Lê Trọng Ba, Phường Tây Hoạt, Quận Tôn Đai, Chín Mộinh","4 Lê Trọng Ba, Phường Tây Hoạt, Quận Tôn Đai, Chín Mộinh","4 Lê Trọng Ba, Phường Tây Hoà, Quận Tôn Đai, Chín Mộinh",0.3636,0.3636,0.3788,0.6429,SUBSTITUTION
31,handwritten_0134.png,handwritten,"làm xấu đi môi trường đầu tư của thành phố hay không, và cũng","làm xâc đi vận trường, Đầu từ anh Của phê (hong không, bà cùng","làm xâc đi vận trường, Đầu từ anh Của phê (hong không, bà cùng","làm xâc đi vận trường, Đầu từ anh Của phê (hong không, bà cùng",0.3770,0.3770,0.3770,0.7857,SUBSTITUTION
32,handwritten_0476.png,handwritten,"Số 13 Phạm Huy Thông, Thị Trấn Ân Thi, Huyện Ân Thi, Hưng Yên","Số 17 Thạm Huy Cháng, Thị cấm triện trời đai, Hàng Yên","Số 17 Thạm Huy Cháng, Thị cấm triện trời đai, Hàng Yên","Số 17 Thạm Huy Cháng, Thị cấm triện trời đai, Hưng Yên",0.3934,0.3934,0.3770,0.6429,SUBSTITUTION
33,handwritten_0263.png,handwritten,"7 Lô D Lạc Long Quân, Phường 2, Thành Phố Vũng Tàu, Bà Rịa - Vũng Tàu","7 Lê D lại Cong Quân, Phương 2, Thành dế "" Vũng Tầm, Vậy Trán","7 Lê D lại Cong Quân, Phương 2, Thành dế "" Vũng Tầm, Vậy Trán","7 Lê D lại Cong Quân, Phương 2, Thành dế "" Vũng Tầm, Vậy Trán",0.3768,0.3768,0.3768,0.7059,SUBSTITUTION
34,handwritten_0130.png,handwritten,lâu ngày đến vậy? Tôi không phải là người trong lĩnh vực chuyên môn nhưng,Làng ngờ đếi ủy? Trê không phải là ngoài tay tìm bạc chuyển mội. nhưng,Làng ngờ đếi ủy? Trê không phải là ngoài tay tìm bạc chuyển mội. nhưng,Làng ngờ đếi ủy? Trê không phải là ngoài tay tìm bạc chuyển mội. nhưng,0.3699,0.3699,0.3699,0.7333,SUBSTITUTION
35,handwritten_0729.png,handwritten,"02 - 04, KP 3, An bình, Phường An Bình, Thành phố Biên Hoà, Đồng Nai","05 - 04,KP3, Anh ởi ra, Quường A Định, Trương phố Bên the, Sồng khi","05 - 04,KP3, Anh ởi ra, Quường A Định, Trương phố Bên the, Sồng khi","05 - 04,KP3, Anh ởi ra, Quường A Định, Trương phố Bên the, Sồng khi",0.3676,0.3676,0.3676,0.8750,SUBSTITUTION
36,handwritten_0219.png,handwritten,"Tổ 19 P, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","đồ 19/, Phường Nỹi Am, Quận Người tành, Sơn, Đà Vưỡng","đồ 19/, Phường Nỹi Am, Quận Người tành, Sơn, Đà Vưỡng","đồ 19/, Phường Núi Sam, Quận Người tành, Sơn, Đà Vưỡng",0.3061,0.3061,0.3673,0.6667,SUBSTITUTION
37,handwritten_0193.png,handwritten,"Số 187, tổ 8, ấp Tân Hòa, Xã Tân Tiến, Huyện Bù Đốp, Bình Phước","Số 187, Hờ &, án Hoài, Xã Tiên. Huyện Bù Đốp, Nh Phuốc","Số 187, Hờ &, án Hoài, Xã Tiên. Huyện Bù Đốp, Nh Phuốc","Số 187, Hờ &, án Hoài, Xã Tiên. Huyện Bù Đốp, Nh Phuốc",0.3492,0.3492,0.3492,0.6000,SUBSTITUTION
38,handwritten_0578.png,handwritten,"13/5A Nguyễn Văn Quá, phường Đông Hưng Thuận, Quận 12, TP Hồ Chí Minh","17/5A Nguyễn Văn quá, phường Đồng [ Trưng TPuận, Thành sinh","17/5A Nguyễn Văn quá, phường Đồng [ Trưng TPuận, Thành sinh","17/5A Nguyễn Văn quá, phường Đồng [ Trưng TPuận, Thành sinh",0.3478,0.3478,0.3478,0.7857,SUBSTITUTION
39,handwritten_0653.png,handwritten,"Tổ 4, Thị trấn Kon Dơng, Huyện Mang Yang, Gia Lai","Số 4, Thị Đán Km Động, Ngận Mạng trang Gia Lai","Số 4, Thị Đán Km Động, Ngận Mạng trang Gia Lai","Số 4, Thị Đán Km Động, Ngận Mạng trang Gia Lai",0.3469,0.3469,0.3469,0.6364,SUBSTITUTION
40,handwritten_0472.png,handwritten,"Tổ Luộc 1, Thị Trấn Vĩnh Lộc, Huyện Chiêm Hoá, Tuyên Quang","Tố Lược 1, Thị Trấn, Huyện Chiêm Quan, Triên Xhoảng","Tố Lược 1, Thị Trấn, Huyện Chiêm Quan, Triên Xhoảng","Tố Lược 1, Thị Trấn, Huyện Chiêm Hóa, Triên Xhoảng",0.3793,0.3793,0.3448,0.6667,SUBSTITUTION
41,handwritten_0151.png,handwritten,"Và hôm nay, chúng ta cũng cần hỏi câu hỏi này với chính mình.","và bầm nay, chuống truông cồn hải cân bỏ củng và Chính mình.","và bầm nay, chuống truông cồn hải cân bỏ củng và Chính mình.","và bầm nay, chuống truông cồn hải cân bỏ củng và Chính mình.",0.3443,0.3443,0.3443,0.8571,SUBSTITUTION
42,handwritten_0133.png,handwritten,"mà còn để con đường xuống cấp thê thảm, có phải là góp thêm phần","mà còn đề con đường xuốp thê Ca, phải là quán Hậi phân","mà còn đề con đường xuốp thê Ca, phải là quán Hậi phân","mà còn đề con đường xuốp thê Ca, phải là quán Hậi phân",0.3438,0.3438,0.3438,0.5333,SUBSTITUTION
43,handwritten_0149.png,handwritten,"đã làm điều đó? Ba năm trôi qua, chắc hẳn đã hàng trăm, ngàn lần","tô bàn điều được Ba năm hơa quả, chắc hẳn đã hày lặm, ngoài kẻ","tô bàn điều được Ba năm hơa quả, chắc hẳn đã hày lặm, ngoài kẻ","tô bàn điều được Ba năm hơa quả, chắc hẳn đã hày lặm, ngoài kẻ",0.3438,0.3438,0.3438,0.6000,SUBSTITUTION
44,handwritten_0146.png,handwritten,"người khác. Thân phận, cuộc sống của họ là bi đát, và điều mỉa mai cũng","người Phíc. thôn phậm, bậi rấy của họ dị phí và điều mìa mai cùng","người Phíc. thôn phậm, bậi rấy của họ dị phí và điều mìa mai cùng","người Phíc. thôn phậm, bậi rấy của họ dị phí và điều mìa mai cùng",0.3380,0.3380,0.3380,0.6250,SUBSTITUTION
45,handwritten_0177.png,handwritten,"công trên "" chiến trường "" bếp núc, nhưng lại thành công khi tặng mẹ "" đoá hồng "" của tình yêu.","ông trên "" chiếu trường "" lắp, mảng lại thành côp bé tặy ne "" đó Tùng vềa tình nhâo.","ông trên "" chiếu trường "" lắp, mảng lại thành côp bé tặy ne "" đó Tùng vềa tình nhâo.","ông trên "" chiếu trường "" lắp, mảng lại thành côp bé tặy ne "" đó Tùng vềa tình nhâo.",0.3368,0.3368,0.3368,0.6364,SUBSTITUTION
46,printed_0482.png,printed,trấn Sơn Tây,trấn Sơn Tây(1).,trấn Sơn Tây(1).,trấn Sơn Tây(1).,0.3333,0.3333,0.3333,0.3333,SUBSTITUTION
47,handwritten_0123.png,handwritten,"vợ bỏ, kẻ thì cày ải trên những con đường đô thị để lượm ve chai, phải tá túc trong",""" thỏ, hề thì cày ai trên con đường, đô khiệm ve chia; phải tá búc trong",""" thỏ, hề thì cày ai trên con đường, đô khiệm ve chia; phải tá búc trong",""" thỏ, hề thì cày ai trên con đường, đô khiệm ve chia; phải tá búc trong",0.3253,0.3253,0.3253,0.5500,SUBSTITUTION
48,handwritten_0120.png,handwritten,mới biết việc làm dũng cảm và tốt đẹp đó đã mang đến bao hệ lụy phiền phức,"mái biết "" việc làm chúng cảm và đất đẹp đã xong vềi bao kỷ lụy quán phước","mái biết "" việc làm chúng cảm và đất đẹp đã xong vềi bao kỷ lụy quán phước","mái biết "" việc làm chúng cảm và đất đẹp đã xong vềi bao kỷ lụy quán phước",0.3243,0.3243,0.3243,0.5556,SUBSTITUTION
49,handwritten_0647.png,handwritten,"xã quảng thành, Xã Quảng Thành, Huyện Hải Hà, Quảng Ninh","Xã quan "" Thành, xã Quảy Thành, Huyện Hà Nỹi, Nộnh","Xã quan "" Thành, xã Quảy Thành, Huyện Hà Nỹi, Nộnh","Xã Quang Thành, xã Quảy Thành, Huyện Hà Nỹi, Nộnh",0.3393,0.3393,0.3214,0.8182,SUBSTITUTION
50,handwritten_0121.png,handwritten,"cho những người trong cuộc, những người mà theo tôi vô cùng xứng đáng với danh","cho người trang mội, Những người mà khôe bân vô cùng xuống đay và dánh","cho người trang mội, Những người mà khôe bân vô cùng xuống đay và dánh","cho người trang mội, Những người mà khôe bân vô cùng xuống đay và dánh",0.3205,0.3205,0.3205,0.6250,SUBSTITUTION
